index,search_text,price,min_order,Title,link,molecular_formula,min_quantity,min_unit,min_quantity_kg,min_unit_kg,specific_price
MgCO3,MgCO3 magnesium carbonate,640.0,1.0 Metric Tons,Magnesium carbonate ( MgCO3 ),https://www.alibaba.com/product-detail/Magnesium-carbonate-MgCO3-_1600226091537.html,,1.0,t,1000.0,1000.0,0.64
MgCO3,MgCO3 magnesium carbonate,250.0,28.0 Tons,High Quality light Magnesium Carbonate powder Mgco3,https://www.alibaba.com/product-detail/High-Quality-light-Magnesium-Carbonate-powder_62567769674.html,,28.0,t,28000.0,1000.0,0.25
MgCO3,MgCO3 magnesium carbonate,2.3,500 Kilograms,bulk magnesium carbonate mgco3 light powder for condoms,https://www.alibaba.com/product-detail/bulk-magnesium-carbonate-mgco3-light-powder_1600353635396.html,,500.0,kg,500.0,1.0,2.3
MgCO3,MgCO3 magnesium carbonate,779.43,5.0 Tons,Huge Demand Cosmetic Grade 546-93-0 Magnesium Carbonate ( MGCO3 ),https://www.alibaba.com/product-detail/Huge-Demand-Cosmetic-Grade-546-93_10000003069114.html,,5.0,t,5000.0,1000.0,0.77943
MgCO3,MgCO3 magnesium carbonate,480.0,1 Ton,magnesium chloride na2co3 sodium carbonate for 98.% powder soda ash,https://www.alibaba.com/product-detail/magnesium-chloride-na2co3-sodium-carbonate-for_60745944066.html,,1.0,t,1000.0,1000.0,0.48
CuSO4,Copper Sulfate CuSO4,980.0,1.0 Tons,Anhydrous Copper 2 Sulfate Cuso4 Copper Sulfate Blue For Paint,https://www.alibaba.com/product-detail/Anhydrous-Copper-2-Sulfate-Cuso4-Copper_1600408707403.html,,1.0,t,1000.0,1000.0,0.98
CuSO4,Copper Sulfate CuSO4,1.0,1000.0 Kilograms,Copper Sulphate Sulphate Copper Pentahydrate 98% 99% Industrial Grade CuSO4 5H2O,https://www.alibaba.com/product-detail/Copper-Sulphate-Sulphate-Copper-Pentahydrate-98_1600135694391.html,,1000.0,kg,1000.0,1.0,1.0
PbCO3,PbCO3 lead carbonate,50.0,50.0 Tons,calcium carbonate for plastic,https://www.alibaba.com/product-detail/calcium-carbonate-for-plastic_50002856065.html,,50.0,t,50000.0,1000.0,0.05
Ni(OH)2,Ni(OH)2 nickel hydroxide,1350.0,15 Tons,99%min monohydrate / octahydrate CAS 22326-55- 2 / 12230-71-6 Barium Hydroxide,https://www.alibaba.com/product-detail/99-min-monohydrate-octahydrate-CAS-22326_1600057568499.html,,15.0,t,15000.0,1000.0,1.35
Ni(OH)2,Ni(OH)2 nickel hydroxide,23.5,1 Kilogram,62% min purity cobalt hydroxide,https://www.alibaba.com/product-detail/62-min-purity-cobalt-hydroxide_62273748080.html,,1.0,kg,1.0,1.0,23.5
Ni(OH)2,Ni(OH)2 nickel hydroxide,200.0,1.0 Tons,Aluminum Hydroxide with Factory Price,https://www.alibaba.com/product-detail/Aluminum-Hydroxide-with-Factory-Price_1600077341868.html,,1.0,t,1000.0,1000.0,0.2
Ni(OH)2,Ni(OH)2 nickel hydroxide,400.0,3.0 Tons,MSDS Aluminium Hydroxide - Al( OH )3 Micro Powder,https://www.alibaba.com/product-detail/MSDS-Aluminium-Hydroxide-Al-OH-3_62014541492.html,,3.0,t,3000.0,1000.0,0.4
Ni(OH)2,Ni(OH)2 nickel hydroxide,9.0,1.0 Kilograms,High quality Zirconium hydroxide powder CAS 14475-63-9 supply in stock,https://www.alibaba.com/product-detail/High-quality-Zirconium-hydroxide-powder-CAS_1600441049704.html,,1.0,kg,1.0,1.0,9.0
Ni(OH)2,Ni(OH)2 nickel hydroxide,360.0,1 Ton,Factory Supply Aluminium Hydroxide ATH Al( OH )3,https://www.alibaba.com/product-detail/Factory-Supply-Aluminium-Hydroxide-ATH-Al_60458578346.html,,1.0,t,1000.0,1000.0,0.36
MgO,MgO magnesium oxide,1.0,1.0 Kilograms,Mgo Magnesium Oxide Mgo Industrial Grade Mgo White Powder 99% Magnesium Oxide For Making Paint,https://www.alibaba.com/product-detail/Mgo-Magnesium-Oxide-Mgo-Industrial-Grade_1600241271379.html?s=p,,1.0,kg,1.0,1.0,1.0
MgO,MgO magnesium oxide,20.0,1.0 Kilograms,Magnesium Oxide Mgo Mgomgo Cas 1309-48-4 High Purity Nano Magnesium Oxide MgO Nanopowder / Nanoparticles,https://www.alibaba.com/product-detail/Magnesium-Oxide-Mgo-Mgomgo-Cas-1309_1600272234577.html?s=p,,1.0,kg,1.0,1.0,20.0
MgO,MgO magnesium oxide,100.0,25 Metric Tons,Magnesium oxide 85% industrial grade mgo white powder,https://www.alibaba.com/product-detail/Magnesium-oxide-85-industrial-grade-mgo_62245337318.html,,25.0,t,25000.0,1000.0,0.1
MgO,MgO magnesium oxide,80.0,1.0 Metric Tons,Magnesium Oxide powder Mgo85% 200mesh,https://www.alibaba.com/product-detail/Magnesium-Oxide-powder-Mgo85-200mesh_1600082318899.html,,1.0,t,1000.0,1000.0,0.08
MnO2,MnO2 manganese oxide,80.0,1.0 Kilograms,Supply Active manganese dioxide MnO2 powder used for battery material,https://www.alibaba.com/product-detail/Supply-Active-manganese-dioxide-MnO2-powder_1600275685834.html,,1.0,kg,1.0,1.0,80.0
MnO2,MnO2 manganese oxide,5.0,1.0 Metric Tons,High Purity 1um Manganese Oxide MnO2 Powder CAS 1313-13-9 Manganese Dioxide,https://www.alibaba.com/product-detail/High-Purity-1um-Manganese-Oxide-MnO2_1600458862059.html,,1.0,t,1000.0,1000.0,0.005
MnO2,MnO2 manganese oxide,25.0,1.0 Kilograms,Battery Cathode Material NMC Powder LiNiMnCoO2 Lithium Nickel Manganese Cobalt Oxide,https://www.alibaba.com/product-detail/Battery-Cathode-Material-NMC-Powder-LiNiMnCoO2_60569231365.html,,1.0,kg,1.0,1.0,25.0
MnO2,MnO2 manganese oxide,17.4,1.0 Kilograms,Lithium Manganese Oxide LiMn2O4 LMO Powder For Li-ion Battery Raw Materials,https://www.alibaba.com/product-detail/Lithium-Manganese-Oxide-LiMn2O4-LMO-Powder_1600210106593.html,,1.0,kg,1.0,1.0,17.4
MnO2,MnO2 manganese oxide,1400.0,100 Kilograms,Battery Cathode Material NMC Powder LiNiMnCoO2 Lithium Nickel Manganese Cobalt Oxide,https://www.alibaba.com/product-detail/Battery-Cathode-Material-NMC-Powder-LiNiMnCoO2_1600458029128.html,,100.0,kg,100.0,1.0,1400.0
MnO2,MnO2 manganese oxide,60.0,1.0 Kilograms,Battery Cathode Active Material NMC 811 Powder Lithium Manganese Nickel Cobalt Oxide Linimncoo2,https://www.alibaba.com/product-detail/Battery-Cathode-Active-Material-NMC-811_1600455650757.html,,1.0,kg,1.0,1.0,60.0
MnO2,MnO2 manganese oxide,18.0,1 Kilogram,Manganese Dioxide MnO2 Pellet,https://www.alibaba.com/product-detail/Manganese-Dioxide-MnO2-Pellet_60822185464.html,,1.0,kg,1.0,1.0,18.0
SrCO3,SrCO3 strontium carbonate,3.5,100 Kilograms,Hot sale manufacturer price strontium carbonate 1633-05-2 SrCO3,https://www.alibaba.com/product-detail/Hot-sale-manufacturer-price-strontium-carbonate_60743664668.html,,100.0,kg,100.0,1.0,3.5
SrCO3,SrCO3 strontium carbonate,500.0,10.0 Metric Tons,White Powder Strontium Carbonate for Industrial Grade 98% Purity Strontium Carbonate with Better Price,https://www.alibaba.com/product-detail/White-Powder-Strontium-Carbonate-for-Industrial_1600366813771.html,,10.0,t,10000.0,1000.0,0.5
SrCO3,SrCO3 strontium carbonate,900.0,1.0 Metric Tons,White Powder Strontium Carbonate for Industrial Grade 98% Purity Strontium Carbonate with Better Price,https://www.alibaba.com/product-detail/White-Powder-Strontium-Carbonate-for-Industrial_1600154697640.html,,1.0,t,1000.0,1000.0,0.9
SrCO3,SrCO3 strontium carbonate,300.0,1 Kilogram,Factory Price Sell Nano Strontium Carbonate Powder with SrCO3 Nanoparticles and Nanopowder Dispersion,https://www.alibaba.com/product-detail/Factory-Price-Sell-Nano-Strontium-Carbonate_62456791693.html,,1.0,kg,1.0,1.0,300.0
SrCO3,SrCO3 strontium carbonate,1000.0,9.0 Tons,Strontium Carbonate High Purity Strontium Carbonate Powder SrCO3 Manufacturer,https://www.alibaba.com/product-detail/Strontium-Carbonate-High-Purity-Strontium-Carbonate_1600387192348.html,,9.0,t,9000.0,1000.0,1.0
SrCO3,SrCO3 strontium carbonate,800.0,10.0 Metric Tons,Factory Price !! Strontium carbonate in FIC best quality,https://www.alibaba.com/product-detail/Factory-Price-Strontium-carbonate-in-FIC_60726940291.html,,10.0,t,10000.0,1000.0,0.8
SrCO3,SrCO3 strontium carbonate,800.0,10.0 Metric Tons,Industrial Grade Strontium Carbonate 97%min CAS 471-34-1 Good Price,https://www.alibaba.com/product-detail/Industrial-Grade-Strontium-Carbonate-97-min_1600291041724.html,,10.0,t,10000.0,1000.0,0.8
Ca(NO3)2,Calcum nitrate Ca(NO3)2,480.0,1.0 Tons,Buy Good Quality barium nitrate CAS NO 10022-31-8 Ba( NO3 ) 2 price granular powder 99.3% 99.5% industrial tech grade manufacturer,https://www.alibaba.com/product-detail/Buy-Good-Quality-barium-nitrate-CAS_1600166812270.html,,1.0,t,1000.0,1000.0,0.48
Ca(NO3)2,Calcum nitrate Ca(NO3)2,690.0,10 Tons,Buy potassium nitrate crystal CAS NO 7757-79-1 compound fertilizer KNO3,https://www.alibaba.com/product-detail/Buy-potassium-nitrate-crystal-CAS-NO_1600069892467.html,,10.0,t,10000.0,1000.0,0.69
Ca(NO3)2,Calcum nitrate Ca(NO3)2,2250.0,20 Tons,lead nitrate cas no 10099-74-8 99.0%min,https://www.alibaba.com/product-detail/lead-nitrate-cas-no-10099-74_60744231054.html,,20.0,t,20000.0,1000.0,2.25
Ca(NO3)2,Calcum nitrate Ca(NO3)2,500.0,18.0 Metric Tons,Low Price China Manufacturer High Purity Best Grade Chemical 3 years shelf life Ba( NO3 ) 2 Barium Nitrate For Fireworks,https://www.alibaba.com/product-detail/Low-Price-China-Manufacturer-High-Purity_60670174444.html,,18.0,t,18000.0,1000.0,0.5
Ca(NO3)2,Calcum nitrate Ca(NO3)2,600.0,1.0 Metric Tons,98% Aluminium Nitrate 9H2O,https://www.alibaba.com/product-detail/98-Aluminium-Nitrate-9H2O_652460388.html,,1.0,t,1000.0,1000.0,0.6
Ca(NO3)2,Calcum nitrate Ca(NO3)2,950.0,24.0 Tons,Buy Good Quality barium nitrate CAS NO 10022-31-8 Ba( NO3 ) 2 price granular powder 99.3% 99.5% industrial tech grade supplier,https://www.alibaba.com/product-detail/Buy-Good-Quality-barium-nitrate-CAS_1600433758140.html,,24.0,t,24000.0,1000.0,0.95
BaCO3,BaCO3 barium carbonate,2.0,1.0 Kilograms,Factory Supply 99.9% High Purity Cesium Carbonate cs2co3,https://www.alibaba.com/product-detail/Factory-Supply-99-9-High-Purity_1600315458465.html,,1.0,kg,1.0,1.0,2.0
BaCO3,BaCO3 barium carbonate,37.0,1.0 Kilograms,Hot selling top quality Cobalt carbonate Factory direct sale,https://www.alibaba.com/product-detail/Hot-selling-top-quality-Cobalt-carbonate_1600215337091.html,,1.0,kg,1.0,1.0,37.0
BaCO3,BaCO3 barium carbonate,400.0,25.0 Metric Tons,Cas No.513-77-9 25KG packing popular product barium carbonate granulated powder,https://www.alibaba.com/product-detail/Cas-No-513-77-9-25KG_1600202383165.html,,25.0,t,25000.0,1000.0,0.4
BaCO3,BaCO3 barium carbonate,15.0,1 Metric Ton,Barium Carbonate free flowing,https://www.alibaba.com/product-detail/Barium-Carbonate-free-flowing_60655225823.html,,1.0,t,1000.0,1000.0,0.015
BaCO3,BaCO3 barium carbonate,250.0,1.0 Metric Tons,HAIDA factory supply Ferrous carbonate 99% FeCo3 Iron carbonate 38% CAS 563-71-3,https://www.alibaba.com/product-detail/HAIDA-factory-supply-Ferrous-carbonate-99_1600181689183.html,,1.0,t,1000.0,1000.0,0.25
BaCO3,BaCO3 barium carbonate,50.0,1.0 Kilograms,Factory Supply Hot Selling Cobalt Carbonate CAS 513-79-1,https://www.alibaba.com/product-detail/Factory-Supply-Hot-Selling-Cobalt-Carbonate_1600425179015.html,,1.0,kg,1.0,1.0,50.0
BaCO3,BaCO3 barium carbonate,0.5,1 Kilogram,Buysway Precipitated CaCO3 >99% Superfine 50~100nm Nano Particles Low Oil Absorption for Plastic Industry Calcium Carbonate,https://www.alibaba.com/product-detail/Buysway-Precipitated-CaCO3-99-Superfine-50_1600240468897.html,,1.0,kg,1.0,1.0,0.5
CuO,Copper Oxide CuO,7.0,1 Kilogram,Superfine copper oxide nanoparticle CuO with factory price,https://www.alibaba.com/product-detail/Superfine-copper-oxide-nanoparticle-CuO-with_62070422629.html,,1.0,kg,1.0,1.0,7.0
CuO,Copper Oxide CuO,4.0,1.0 Kilograms,Superfine copper oxide price nanoparticle CuO with Price Advantage,https://www.alibaba.com/product-detail/Superfine-copper-oxide-price-nanoparticle-CuO_1600135198571.html,,1.0,kg,1.0,1.0,4.0
CuO,Copper Oxide CuO,15.0,20 Kilograms,Copper oxide hot sales black copper oxide used in fireworks plating,https://www.alibaba.com/product-detail/Copper-oxide-hot-sales-black-copper_1600283899932.html,,20.0,kg,20.0,1.0,15.0
CuO,Copper Oxide CuO,20.0,25 Kilograms,copper oxide price cupric oxide 25kg per bag,https://www.alibaba.com/product-detail/copper-oxide-price-cupric-oxide-25kg_62044462070.html,,25.0,kg,25.0,1.0,20.0
CuO,Copper Oxide CuO,20.0,1000 Kilograms,Nano copper Oxide 99% 98 % CuO CAS 1317-38-0 Copper (II) oxide,https://www.alibaba.com/product-detail/Nano-copper-Oxide-99-98-CuO_62325595583.html,,1000.0,kg,1000.0,1.0,20.0
CuO,Copper Oxide CuO,160.0,5 Kilograms,100nm Red Cuprous Oxide Nanopowder CAS 1317-39-1 Copper Oxide Cu2O,https://www.alibaba.com/product-detail/100nm-Red-Cuprous-Oxide-Nanopowder-CAS_1600382438720.html,,5.0,kg,5.0,1.0,160.0
CuO,Copper Oxide CuO,40.0,1000.0 Kilograms,Cupric oxide / Copper Oxide CAS 1317-39-1 with purity 98%,https://www.alibaba.com/product-detail/Cupric-oxide-Copper-Oxide-CAS-1317_1600110916579.html,,1000.0,kg,1000.0,1.0,40.0
ZnSO4,ZnSO4 zinc sulphate,0.16,500 Kilograms,Manufacturers Aluminium Sulphate /aluminum Sulfate 16%-17% Powder Al2(so4)3,https://www.alibaba.com/product-detail/Manufacturers-Aluminium-Sulphate-aluminum-Sulfate-16_1600466972799.html,,500.0,kg,500.0,1.0,0.16
ZnSO4,ZnSO4 zinc sulphate,400.0,25.0 Tons,zinc sulphate heptahydrate 33 in sulphate,https://www.alibaba.com/product-detail/zinc-sulphate-heptahydrate-33-in-sulphate_1600136494212.html,,25.0,t,25000.0,1000.0,0.4
ZnSO4,ZnSO4 zinc sulphate,100.0,25.0 Tons,Low Price 33% ZnSO4 Fertilizer Zinc Sulphate Heptahydrate Monohydrate,https://www.alibaba.com/product-detail/Low-Price-33-ZnSO4-Fertilizer-Zinc_1600444608721.html,,25.0,t,25000.0,1000.0,0.1
ZnSO4,ZnSO4 zinc sulphate,140.0,25.0 Tons,fertilizer zinc sulphate heptahydrate znso47h2o zn 21 feed grade grey white granular preservative for wood,https://www.alibaba.com/product-detail/fertilizer-zinc-sulphate-heptahydrate-znso47h2o-zn_1600467028470.html,,25.0,t,25000.0,1000.0,0.14
ZnSO4,ZnSO4 zinc sulphate,450.0,1.0 Metric Tons,High quality low price zinc sulfate monohydrate China factory bulk fertilizer ZnSO4 H2O,https://www.alibaba.com/product-detail/High-quality-low-price-zinc-sulfate_1600460196226.html,,1.0,t,1000.0,1000.0,0.45
ZnSO4,ZnSO4 zinc sulphate,550.0,1.0 Metric Tons,zinc sulfate Zinc And Copper Sulfate Agriculture Fertilizer Znso4 H2o Sulfate De Zinc With Purity 99%,https://www.alibaba.com/product-detail/zinc-sulfate-Zinc-And-Copper-Sulfate_1600400398011.html,,1.0,t,1000.0,1000.0,0.55
ZnSO4,ZnSO4 zinc sulphate,470.0,1 Ton,Zn 22 percent ZnSO4 7H2O Zinc Sulphate Heptahydrate,https://www.alibaba.com/product-detail/Zn-22-percent-ZnSO4-7H2O-Zinc_529616644.html,,1.0,t,1000.0,1000.0,0.47
Mg(OH)2,Mg(OH)2 magnesium hydroxide,0.58,1000 Kilograms,"High purity Magnesium hydroxide flame retardant, Industrial Grade Mg ( OH ) 2 Nanopowder rubber products",https://www.alibaba.com/product-detail/High-purity-Magnesium-hydroxide-flame-retardant_62532953133.html,,1000.0,kg,1000.0,1.0,0.58
Mg(OH)2,Mg(OH)2 magnesium hydroxide,1.8,1000 Kilograms,Magnesium hydroxide from Indian supplier,https://www.alibaba.com/product-detail/Magnesium-hydroxide-from-Indian-supplier_123056035.html,,1000.0,kg,1000.0,1.0,1.8
Mg(OH)2,Mg(OH)2 magnesium hydroxide,230.0,1 Metric Ton,High Quality fire retardant magnesium hydroxide price and magnesium hydroxide flame retardant price,https://www.alibaba.com/product-detail/High-Quality-fire-retardant-magnesium-hydroxide_60402531351.html,,1.0,t,1000.0,1000.0,0.23
Mg(OH)2,Mg(OH)2 magnesium hydroxide,200.0,5 Tons,Magnesium Hydroxide Flame Retardant Mg ( OH ) 2,https://www.alibaba.com/product-detail/Magnesium-Hydroxide-Flame-Retardant-Mg-OH_958633908.html,,5.0,t,5000.0,1000.0,0.2
Mg(OH)2,Mg(OH)2 magnesium hydroxide,1.0,1.0 Kilograms,Professional Supplier Magnesium Hydroxide Powder 1309-42-8,https://www.alibaba.com/product-detail/Professional-Supplier-Magnesium-Hydroxide-Powder-1309_1600303705407.html,,1.0,kg,1.0,1.0,1.0
Mg(OH)2,Mg(OH)2 magnesium hydroxide,510.0,5 Tons,Industrial grade aluminum hydroxide Artificial Marble raw materials aluminium hydroxyde powder,https://www.alibaba.com/product-detail/Industrial-grade-aluminum-hydroxide-Artificial-Marble_1600265946625.html,,5.0,t,5000.0,1000.0,0.51
NiSO4,NiSO4 nickel sulphate,600.0,20 Tons,SODIUM SULPHATE,https://www.alibaba.com/product-detail/SODIUM-SULPHATE_112021269.html,,20.0,t,20000.0,1000.0,0.6
NiSO4,NiSO4 nickel sulphate,110.0,1 Kilogram,99% Cesium Sulphate,https://www.alibaba.com/product-detail/99-Cesium-Sulphate_542810074.html,,1.0,kg,1.0,1.0,110.0
NiSO4,NiSO4 nickel sulphate,1200.0,20.0 Metric Tons,water treatment chemical copper sulphate price,https://www.alibaba.com/product-detail/water-treatment-chemical-copper-sulphate-price_1129942425.html,,20.0,t,20000.0,1000.0,1.2
NiSO4,NiSO4 nickel sulphate,30.0,100.0 Tons,Ferrous Sulphate 98% FeSO4 7H2O,https://www.alibaba.com/product-detail/Ferrous-Sulphate-98-FeSO4-7H2O_62036328032.html,,100.0,t,100000.0,1000.0,0.03
NiSO4,NiSO4 nickel sulphate,3800.0,10.0 Tons,copper sulphate pentahydrate electroplating grade 99% min.,https://www.alibaba.com/product-detail/copper-sulphate-pentahydrate-electroplating-grade-99_321217275.html,,10.0,t,10000.0,1000.0,3.8
NiSO4,NiSO4 nickel sulphate,170.0,20 Metric Tons,Ferrous Sulphate Monohydrate/Heptahydrate Fertilizer Price 100% Water Soluble Iron Fertilizer,https://www.alibaba.com/product-detail/Ferrous-Sulphate-Monohydrate-Heptahydrate-Fertilizer-Price_60748845448.html,,20.0,t,20000.0,1000.0,0.17
NiSO4,NiSO4 nickel sulphate,1.8,25.0 Kilograms,Russia high quality industrial grade crystal prices copper sulphate,https://www.alibaba.com/product-detail/Russia-high-quality-industrial-grade-crystal_1600150558509.html,,25.0,kg,25.0,1.0,1.8
PbCO3,PbCO3 lead carbonate,165.0,1 Ton,Precipitated Calcium Carbonate,https://www.alibaba.com/product-detail/Precipitated-Calcium-Carbonate_266099235.html,,1.0,t,1000.0,1000.0,0.165
PbCO3,PbCO3 lead carbonate,120.0,20.0 Tons,precipitated calcium carbonate plant supply pvc plastic fitting use light caco3 calcium carbonate,https://www.alibaba.com/product-detail/precipitated-calcium-carbonate-plant-supply-pvc_1600457766061.html,,20.0,t,20000.0,1000.0,0.12
PbCO3,PbCO3 lead carbonate,295.0,5.0 Metric Tons,Hot Sale Activate Calcium Carbonate CaCO3 Made In China,https://www.alibaba.com/product-detail/Hot-Sale-Activate-Calcium-Carbonate-CaCO3_1600229630746.html,,5.0,t,5000.0,1000.0,0.295
PbCO3,PbCO3 lead carbonate,0.14,20.0 Kilograms,"Hot-sale good white powder, industrial grade 99.1% CaCO3 content, calcium carbonate for paint",https://www.alibaba.com/product-detail/Hot-sale-good-white-powder-industrial_62089855251.html,,20.0,kg,20.0,1.0,0.14
PbCO3,PbCO3 lead carbonate,200.0,1 Ton,Trusty Inorganic chemical powder Light Coated Precipitated Calcium Carbonate,https://www.alibaba.com/product-detail/Trusty-Inorganic-chemical-powder-Light-Coated_1600126919635.html,,1.0,t,1000.0,1000.0,0.2
PbCO3,PbCO3 lead carbonate,100.0,5.0 Metric Tons,Caco3 light alcium carbonate for building,https://www.alibaba.com/product-detail/Caco3-light-alcium-carbonate-for-building_1600404214106.html,,5.0,t,5000.0,1000.0,0.1
PbCO3,PbCO3 lead carbonate,145.0,20.0 Tons,"Coated caco3 , Environmental friendly calcium carbonate coated made in Vietnam manufacturer at cheap price",https://www.alibaba.com/product-detail/Coated-caco3-Environmental-friendly-calcium-carbonate_10000002529698.html,,20.0,t,20000.0,1000.0,0.145
Ni(OH)2,Ni(OH)2 nickel hydroxide,100.0,20.0 Tons,2021 Good Quality Very Nice White Powder High Purity Fire Retardant Aluminum Hydroxide,https://www.alibaba.com/product-detail/2021-Good-Quality-Very-Nice-White_1600424413194.html,,20.0,t,20000.0,1000.0,0.1
Ni(OH)2,Ni(OH)2 nickel hydroxide,1.0,1 Kilogram,Ba( OH ) 2 .H2O manufacturer,https://www.alibaba.com/product-detail/Ba-OH-2-H2O-manufacturer_1497185577.html,,1.0,kg,1.0,1.0,1.0
Ni(OH)2,Ni(OH)2 nickel hydroxide,50.0,1.0 Kilograms,Positive Electrode Nickel Powder High Quality Ni ( OH ) 2 Spherical Nickel Ni Hydroxide Powder,https://www.alibaba.com/product-detail/Positive-Electrode-Nickel-Powder-High-Quality_1600389036745.html,,1.0,kg,1.0,1.0,50.0
Ni(OH)2,Ni(OH)2 nickel hydroxide,10.0,1 Kilogram,Hot sale Nickel Hydroxide Ni ( OH ) 2 CAS 12054-48-7,https://www.alibaba.com/product-detail/Hot-sale-Nickel-Hydroxide-Ni-OH_1600396625006.html,,1.0,kg,1.0,1.0,10.0
Ni(OH)2,Ni(OH)2 nickel hydroxide,1.0,1.0 Kilograms,With Best Price Used in Electroplating CAS 12054-48-7 Nickel Hydroxide Ni ( OH ) 2 for Industry,https://www.alibaba.com/product-detail/With-Best-Price-Used-in-Electroplating_1600367496815.html,,1.0,kg,1.0,1.0,1.0
Ni(OH)2,Ni(OH)2 nickel hydroxide,1.0,1.0 Kilograms,Manufacture supply high quality Lithium hydroxide CAS 1310-65- 2 with best price,https://www.alibaba.com/product-detail/Manufacture-supply-high-quality-Lithium-hydroxide_1600431839955.html,,1.0,kg,1.0,1.0,1.0
MgCO3,MgCO3 magnesium carbonate,0.9,1000.0 Kilograms,Wet Powder MnCO3 Manganese Carbonate for Manganese Nitrate Salt,https://www.alibaba.com/product-detail/Wet-Powder-MnCO3-Manganese-Carbonate-for_1600460673838.html,,1000.0,kg,1000.0,1.0,0.9
MgCO3,MgCO3 magnesium carbonate,0.5,1.0 Kilograms,cosmetic grade magnesium and calsium bulk 25kg magnesium carbonate green powder,https://www.alibaba.com/product-detail/cosmetic-grade-magnesium-and-calsium-bulk_1600369193766.html,,1.0,kg,1.0,1.0,0.5
MgCO3,MgCO3 magnesium carbonate,8.0,25.0 Kilograms,Thermal insulation material food additive Magnesium carbonate CAS 546-93-0,https://www.alibaba.com/product-detail/Thermal-insulation-material-food-additive-Magnesium_1600457514861.html,,25.0,kg,25.0,1.0,8.0
MgCO3,MgCO3 magnesium carbonate,60.0,25 Kilograms,Magnesium Carbonate CAS 13717-00-5 Light Magnesium Carbonate Powder,https://www.alibaba.com/product-detail/Magnesium-Carbonate-CAS-13717-00-5_1600452057535.html,,25.0,kg,25.0,1.0,60.0
MgCO3,MgCO3 magnesium carbonate,1.0,5.0 Kilograms,Hot Sell Factory Manufactured Barium Carbonate Price 513-77-9,https://www.alibaba.com/product-detail/Hot-Sell-Factory-Manufactured-Barium-Carbonate_60248184195.html,,5.0,kg,5.0,1.0,1.0
MgCO3,MgCO3 magnesium carbonate,1.0,1.0 Kilograms,High Purity Magnesium carbonate basic pentahydrate CAS 56378-72-4 Magnesium carbonate basic pentahydrate,https://www.alibaba.com/product-detail/High-Purity-Magnesium-carbonate-basic-pentahydrate_1600438345257.html,,1.0,kg,1.0,1.0,1.0
Ca(OH)2 ,Ca(OH)2 calcium hydrate,1500.0,22 Metric Tons,Fast shipments factory CaC2 calcium carbide producer,https://www.alibaba.com/product-detail/Fast-shipments-factory-CaC2-calcium-carbide_1600294588076.html,,22.0,t,22000.0,1000.0,1.5
Ca(OH)2 ,Ca(OH)2 calcium hydrate,1050.0,22 Metric Tons,Hot sell 50-80 mm 295L CaC2 calcium carbide,https://www.alibaba.com/product-detail/Hot-sell-50-80-mm-295L_1600295702005.html,,22.0,t,22000.0,1000.0,1.05
Ca(OH)2 ,Ca(OH)2 calcium hydrate,880.0,23 Tons,CaC2 calcium carbide stone UN 1402 to produce acetylene calcium carbide price in India /buy calcium carbide,https://www.alibaba.com/product-detail/CaC2-calcium-carbide-stone-UN-1402_1600281786238.html,,23.0,t,23000.0,1000.0,0.88
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Calcium Carbide Cac2 For Acetylene Gas 80-120 70-100 50-80 25-50 15-25mm,https://www.alibaba.com/product-detail/Calcium-Carbide-Cac2-For-Acetylene-Gas_1600430391923.html,,25.0,t,25000.0,1000.0,0.95
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Cac2 0-15mm 25~50mm 50~80mm Calcium Carbide Manufacturers Supplier,https://www.alibaba.com/product-detail/Cac2-0-15mm-25-50mm-50_1600424752869.html,,25.0,t,25000.0,1000.0,0.95
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Manufacturer Price Calcium Carbide Industrial Grade 50-80mm 50Kg For Sale,https://www.alibaba.com/product-detail/Manufacturer-Price-Calcium-Carbide-Industrial-Grade_1600424896084.html,,25.0,t,25000.0,1000.0,0.95
Ca(OH)2 ,Ca(OH)2 calcium hydrate,1611.0,23 Tons,calcium carbide 5080mm,https://www.alibaba.com/product-detail/calcium-carbide-5080mm_1600364740153.html,,23.0,t,23000.0,1000.0,1.611
CuSO4,Copper Sulfate CuSO4,1.6,1.0 Kilograms,Agriculture Grade fungicide anhydrous copper sulfate,https://www.alibaba.com/product-detail/Agriculture-Grade-fungicide-anhydrous-copper-sulfate_60795044193.html,,1.0,kg,1.0,1.0,1.6
CuSO4,Copper Sulfate CuSO4,2.8,1.0 Kilograms,Best Price of Industry Grade Cuso4 Blue Crystal Copper Sulphate powder manufacturing plant,https://www.alibaba.com/product-detail/Best-Price-of-Industry-Grade-Cuso4_1600359119685.html,,1.0,kg,1.0,1.0,2.8
CuSO4,Copper Sulfate CuSO4,800.0,20.0 Metric Tons,Best seller powder 24.5% Min Cu content copper Sulfate,https://www.alibaba.com/product-detail/Best-seller-powder-24-5-Min_11000001896885.html,,20.0,t,20000.0,1000.0,0.8
